observation1, observation2, generated hypothesis, real hypothesis
Al was the scrawniest guy in his gym class and was always teased.,In September his classmates didn't recognize him.,Al's classmates thought he was a little weird. He was very shy. So he didn't know anyone,Al joined a gym over the summer.
Anthony wanted to learn how to speak Spanish.,Anthony became successful because of his linguistic abilities.,Anthony practiced his Spanish daily. he wanted to learn to speak Spanish. he went to a Spanish school,Anthony took a spanish class and excelled.
Chang was finishing up lunch when all of a sudden he heard a noise.,The volcano stopped being active before the lava could damage the city,The volcano erupted. The volcano was erupting. The volcano started to erupt,Chang looked out his window to see what was happening.
Alice wanted to learn how to kick a corner kick for her team.,Alice kicked the corner in the game that led to the winning header.,Alice practiced for the game. and practiced kick the ball. and practiced kick the ball,Alice practiced the corner kick for hours every day.
Anna was sewing a dress.,She had to take a break to bandage her wound.,Anna tripped and cut her arm. She was trying to cut her arm. She was trying to make a dress,Anna got stuck with a needle.
Jay went to put his pants to get ready for work.,Jay tossed aside the belt and said that he'd buy a new one.,Jay was nervous about getting a new belt. he was nervous about getting a new one. he was nervous about getting a new one,Jay realized his belt buckle was broken.
As the friends boarded flight to Australia they felt strange.,They were being followed and neither recognized it.,They were in Australia for five days. They were waiting for their flight. They had to make a decision,The two friends sat in the plan.
Anna was at an Easter party.,Anna won the Easter Egg Hunt!,Anna found a bunch of eggs hidden in the easter eggs. Anna wanted to find the eggs. She looked all over for them,Anna tried her best to find all the eggs.
Ian was playing an online game.,But he didn't feel any better.,Ian got sick and felt like he was in pain. Ian didn't feel good. i was playing the game,Ian took off from school for being sick and played all day.
Anna was going on a river cruise.,She had a wonderful time on her cruise.,Anna saw many beautiful sites. She went on a tour of the river. She went on a tour of the river,Anna went on her cruise fully prepared for any activity.
Bee was digging in his backyard.,He did however find three dimes and a bottle cap!,Bee found a bottle of water. He was digging for something. He dug a deep hole,He did not find any relics for his history class.
I was trying to eat lunch at home yesterday when a fly flew in.,Eventually I killed it with a newspaper.,I was afraid of flying. The fly flew into my food. I tried to catch the fly,it was landing everywhere.
Jackson was at the lake with his family.,He reeled the fish in and proudly showed it off.,Jackson's family went fishing. So he went fishing. So he caught a fish,So his family decided they would take the boat out and go fishing.
Alice was getting married in a few weeks.,Alice called her mother and apologized profusely.,Alice's mother found out and was very upset. i was in a bad mood. i was in a bad mood,Alice skipped the wedding.
Herb loved meditation.,Herb had relapsed and fell ill.,Herb did not get enough sleep. Herb did not get enough sleep. Sheb was very tired,Herb wanted to drink.
Nancy caught Chris copying the answers for tomorrow's exam.,Nancy couldn't hold the secret and confessed it to everyone.,Nancy found out Chris was cheating. he was told to lie. he was told he was the boss,Chris pleaded with Nancy not to tell anyone.
Gina was in the middle of the backseat surrounded by siblings.,Gina continued to stare.,Gina was staring at the siblings. Gina was staring at them all the time. Gina started to cry,Gina could see a strange dog in the car next to them.
Caroline decided to take a surfing class at the beach.,Now she likes to build sandcastles when she goes to the beach.,Caroline practiced every day. Caroline was a terrible surfer. Caroline practiced every day,She fell and flopped and almost drowned.
Amy wanted to learn how to draw.,Her face lit up when she saw her drawings were on the fridge.,Amy took a drawing class at the local art school. So she decided to take a drawing class. So she knew what she was doing,Amy practiced and gave the drawing to her mom.
Bob wanted to go to Paris.,Bob accepted the refund and never went to Paris.,Bob got a ticket to Paris but it was very expensive. So he decided to go anyway. So he had to go to Paris anyway,He booked a trip but the tour company cancelled it.
Sara needed a prescription.,He had her prescription ready and handed it over.,Sara went to the pharmacy. She went to the office. So she went to the office,Sara walked up to the pharmacy to see if her prescription was ready.
Nina wanted a nice Halloween costume.,Nina bought a toy.,Nina's friend wanted a different costume. Nina's friend wanted a different costume. Nina's friend wanted a different costume,She couldn't find one that interested her.
It snowed in Kelly's neighborhood about three feet.,Kelly was happy to make the extra money.,Kelly decided to hire a foreman to clean up the snow. Kelly had to clean up the snow. Kelly had to shovel the snow,Kelly shoveled her neighbor's drive way.
Joe was walking through downtown.,He reluctantly agreed to give them an interview.,Joe saw a homeless man. He was nervous about the interview. Joe asked a homeless man for a job,He was approached by a survey taker.
Sam let Tim borrow his headphones.,Sam was just happy Tim told the truth.,Sam was told that his headphones were stolen. he had to pay for them. Tim lied to his parents,Tim lost the headphones and told Sam.
Beth and her friends were studying together.,Everyone laughed at the funny video.,Beth took a funny video. Beth took a video of her friends. Beth made a video about her friends,Beth found a funny cat video.
